172.20.0.1 - - [02/Oct/2024:16:36:28 +0000] "GET /api/v1/devices HTTP/1.1" 500 296952 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:130.0) Gecko/20100101 Firefox/130.0" "-"
172.21.0.3 - - [02/Oct/2024:16:36:34 +0000] "GET /api/v1/devices HTTP/1.1" 499 0 "-" "GuzzleHttp/7" "-"
172.20.0.1 - - [02/Oct/2024:16:42:18 +0000] "GET /api/v1/devices HTTP/1.1" 500 296858 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:130.0) Gecko/20100101 Firefox/130.0" "-"
172.20.0.1 - - [02/Oct/2024:16:47:30 +0000] "GET / HTTP/1.1" 302 358 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:130.0) Gecko/20100101 Firefox/130.0" "-"
172.20.0.1 - - [02/Oct/2024:16:47:37 +0000] "GET /login HTTP/1.1" 302 374 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:130.0) Gecko/20100101 Firefox/130.0" "-"
172.20.0.1 - - [02/Oct/2024:16:48:02 +0000] "GET /dashboard HTTP/1.1" 499 0 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:130.0) Gecko/20100101 Firefox/130.0" "-"
172.20.0.1 - - [02/Oct/2024:16:48:07 +0000] "GET / HTTP/1.1" 200 7291 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:130.0) Gecko/20100101 Firefox/130.0" "-"
172.20.0.1 - - [02/Oct/2024:16:48:09 +0000] "GET /css/style.css HTTP/1.1" 404 6622 "http://localhost:81/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:130.0) Gecko/20100101 Firefox/130.0" "-"
172.20.0.1 - - [02/Oct/2024:16:48:09 +0000] "GET /fontawesome/css/all.min.css HTTP/1.1" 404 6622 "http://localhost:81/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:130.0) Gecko/20100101 Firefox/130.0" "-"
172.20.0.1 - - [02/Oct/2024:16:48:12 +0000] "GET /js/fp.min.js HTTP/1.1" 404 6622 "http://localhost:81/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:130.0) Gecko/20100101 Firefox/130.0" "-"
